2023-07-30 19:38:19,0.80%,41.86°C
2023-07-30 19:38:20,0.80%,41.91°C
2023-07-30 19:38:21,1.60%,41.94°C
2023-07-30 19:38:22,1.60%,41.97°C
2023-07-30 19:38:24,1.60%,42.01°C
2023-07-30 19:38:25,1.60%,42.30°C
2023-07-30 19:38:26,2.40%,42.34°C
2023-07-30 19:38:27,9.00%,42.38°C
2023-07-30 19:38:29,3.10%,42.43°C
2023-07-30 19:38:30,1.60%,42.51°C
2023-07-30 19:38:31,3.10%,42.54°C
2023-07-30 19:38:32,2.40%,42.58°C
2023-07-30 19:38:34,0.00%,42.62°C
2023-07-30 19:38:35,1.70%,42.85°C
2023-07-30 19:43:21,51.60%,-127.00°C
2023-07-30 19:43:22,30.50%,-127.00°C
2023-07-30 19:43:23,1.60%,-127.00°C
2023-07-30 19:43:24,9.20%,40.28°C
2023-07-30 19:43:25,5.80%,40.28°C
2023-07-30 19:43:26,0.00%,40.26°C
2023-07-30 19:43:27,0.00%,40.25°C
2023-07-30 19:43:29,0.80%,40.25°C
2023-07-30 19:43:30,0.80%,40.25°C
2023-07-30 19:43:31,0.00%,40.25°C
2023-07-30 19:43:32,26.20%,40.43°C
2023-07-30 19:43:33,9.70%,40.45°C
2023-07-30 19:43:35,1.50%,40.47°C
2023-07-30 19:43:36,0.00%,40.49°C
2023-07-30 19:43:37,0.80%,40.52°C
2023-07-30 19:43:38,0.80%,40.54°C
2023-07-30 19:43:40,0.00%,40.56°C
2023-07-30 19:43:41,1.60%,40.58°C
2023-07-30 19:43:42,7.80%,40.72°C
2023-07-30 19:43:43,9.10%,40.75°C
2023-07-30 19:43:45,5.30%,40.78°C
2023-07-30 19:43:46,0.80%,40.81°C
2023-07-30 19:43:47,1.50%,40.88°C
2023-07-30 19:43:48,1.60%,40.91°C
2023-07-30 19:43:50,3.20%,40.95°C
2023-07-30 19:43:51,0.00%,40.99°C
2023-07-30 19:43:52,0.00%,41.25°C
2023-07-30 19:43:53,0.80%,41.29°C
2023-07-30 19:43:55,5.70%,41.32°C
2023-07-30 19:43:56,0.00%,41.36°C
2023-07-30 19:43:57,1.50%,41.43°C
2023-07-30 19:43:58,1.50%,41.46°C
2023-07-30 19:44:00,4.60%,41.50°C
2023-07-30 19:44:01,0.00%,41.53°C
2023-07-30 19:44:02,0.80%,41.73°C
2023-07-30 19:44:03,0.80%,41.77°C
2023-07-30 19:44:05,3.30%,41.80°C
2023-07-30 19:44:06,0.00%,41.84°C
2023-07-30 19:44:07,1.60%,41.91°C
2023-07-30 19:44:08,23.80%,41.95°C
2023-07-30 19:44:10,13.70%,42.01°C
2023-07-30 19:44:11,9.00%,42.06°C
2023-07-30 19:48:57,50.40%,-127.00°C
2023-07-30 19:48:58,29.30%,-127.00°C
2023-07-30 19:48:59,1.70%,-127.00°C
2023-07-30 19:49:00,0.70%,40.33°C
2023-07-30 19:49:01,0.80%,40.30°C
2023-07-30 19:49:02,0.00%,40.29°C
2023-07-30 19:49:04,0.00%,40.26°C
2023-07-30 19:49:05,0.80%,40.24°C
2023-07-30 19:49:06,0.80%,40.23°C
2023-07-30 19:49:07,0.80%,40.21°C
2023-07-30 19:49:08,6.00%,40.25°C
2023-07-30 19:49:10,0.80%,40.25°C
2023-07-30 19:49:11,7.10%,40.25°C
2023-07-30 19:49:12,1.50%,40.25°C
2023-07-30 19:49:13,0.00%,40.25°C
2023-07-30 19:49:15,1.50%,40.25°C
2023-07-30 19:49:16,1.30%,40.26°C
2023-07-30 19:49:17,0.00%,40.27°C
2023-07-30 19:49:18,11.50%,40.30°C
2023-07-30 19:49:20,0.80%,40.32°C
2023-07-30 19:49:21,5.50%,40.35°C
2023-07-30 19:49:22,14.60%,40.39°C
2023-07-30 19:49:23,1.60%,40.42°C
2023-07-30 19:49:25,6.50%,40.44°C
2023-07-30 19:49:26,5.50%,40.46°C
2023-07-30 19:49:27,0.80%,40.50°C
2023-07-30 19:49:28,0.80%,40.67°C
2023-07-30 19:49:30,0.80%,40.69°C
2023-07-30 19:49:31,2.30%,40.71°C
2023-07-30 19:49:32,0.80%,40.73°C
